date_assumed_office,name,office_title,party
,Nita Lowey,U.S. House New York District 17,Democratic Party
,Nydia Velazquez,U.S. House New York District 7,Democratic Party
,Paul Tonko,U.S. House New York District 20,Democratic Party
,Sean Maloney,U.S. House New York District 18,Democratic Party
,Tom Reed,U.S. House New York District 23,Republican Party
,David Price,U.S. House North Carolina District 4,Democratic Party
,David Rouzer,U.S. House North Carolina District 7,Republican Party
,G.K. Butterfield,U.S. House North Carolina District 1,Democratic Party
,Patrick T. McHenry,U.S. House North Carolina District 10,Republican Party
,Richard Hudson,U.S. House North Carolina District 8,Republican Party
,Robert Pittenger,U.S. House North Carolina District 9,Republican Party
,Ted Budd,U.S. House North Carolina District 13,Republican Party
2013,Kevin Cramer,U.S. House North Dakota At-large District,Republican Party
,Bob Gibbs,U.S. House Ohio District 7,Republican Party
,Brad Wenstrup,U.S. House Ohio District 2,Republican Party
2013-01-04,David Joyce,U.S. House Ohio District 14,Republican Party
1993-01-03,Jerrold Nadler,U.S. House New York District 10,Democratic Party
,Beto O'Rourke,U.S. House Texas District 16,Democratic Party
,Joyce Beatty,U.S. House Ohio District 3,Democratic Party
1983,Marcy Kaptur,U.S. House Ohio District 9,Democratic Party
2011,Steve Chabot,U.S. House Ohio District 1,Republican Party
2011,Steve Stivers,U.S. House Ohio District 15,Republican Party
2003,Frank Lucas,U.S. House Oklahoma District 3,Republican Party
,Steve Russell,U.S. House Oklahoma District 5,Republican Party
1997,Earl Blumenauer,U.S. House Oregon District 3,Democratic Party
1999,Greg Walden,U.S. House Oregon District 2,Republican Party
2009,Kurt Schrader,U.S. House Oregon District 5,Democratic Party
1987,Peter DeFazio,U.S. House Oregon District 4,Democratic Party
,Suzanne Bonamici,U.S. House Oregon District 1,Democratic Party
,Brendan Boyle,U.S. House Pennsylvania District 13,Democratic Party
,Brian Fitzpatrick,U.S. House Pennsylvania District 8,Republican Party
,Dwight Evans,U.S. House Pennsylvania District 2,Democratic Party
2009,Glenn Thompson,U.S. House Pennsylvania District 5,Republican Party
,Keith Rothfus,U.S. House Pennsylvania District 12,Republican Party
,Matt Cartwright,U.S. House Pennsylvania District 17,Democratic Party
1998,Robert Brady,U.S. House Pennsylvania District 1,Democratic Party
2015,Ryan Costello,U.S. House Pennsylvania District 6,Republican Party
,Scott Perry,U.S. House Pennsylvania District 4,Republican Party
2011,Tom Marino,U.S. House Pennsylvania District 10,Republican Party
2011,Trey Gowdy,U.S. House South Carolina District 4,Republican Party
,David Kustoff,U.S. House Tennessee District 8,Republican Party
2009,Phil Roe,U.S. House Tennessee District 1,Republican Party
2007,Steve Cohen,U.S. House Tennessee District 9,Democratic Party
